id,iso3,country_en,country_zh,region_en,region_zh,Type,local_id1,hasc1
152,,Colombia,哥伦比亚,Caqueta,卡克塔省,,,
153,,Colombia,哥伦比亚,Casanare,卡萨纳雷省,,,
154,,Colombia,哥伦比亚,Cauca,考卡省,,,
155,,Colombia,哥伦比亚,Cesar,塞萨尔省,,,
156,,Colombia,哥伦比亚,Choco,乔科省,,,
157,,Colombia,哥伦比亚,Cordoba,科尔多瓦省,,,
158,,Colombia,哥伦比亚,Cundinamarca,昆迪纳马卡省,,,
159,,Colombia,哥伦比亚,Guainia,瓜伊尼亚省,,,
160,,Colombia,哥伦比亚,Guaviare,瓜维亚雷省,,,
161,,Colombia,哥伦比亚,Huila,乌伊拉省,,,
162,,Colombia,哥伦比亚,La Guajira,瓜希拉省,,,
163,,Colombia,哥伦比亚,Magdalena,马格达莱纳省,,,
164,,Colombia,哥伦比亚,Meta,梅塔省,,,
165,,Colombia,哥伦比亚,Narino,纳里尼奥省,,,
166,,Colombia,哥伦比亚,Norte de Santander,北桑坦德省,,,
167,,Colombia,哥伦比亚,Putumayo,普图马约省,,,
168,,Colombia,哥伦比亚,Quindio,金迪奥省,,,
169,,Colombia,哥伦比亚,Risaralda,里萨拉尔达省,,,
170,,Colombia,哥伦比亚,San Andres y Providencia,圣安德列斯-普罗维登西亚省,,,
171,,Colombia,哥伦比亚,Santander,桑坦德省,,,
172,,Colombia,哥伦比亚,Sucre,苏克雷省,,,
173,,Colombia,哥伦比亚,Tolima,托利马省,,,
174,,Colombia,哥伦比亚,Valle del Cauca,考卡山谷省,,,
175,,Colombia,哥伦比亚,Vaupes,沃佩斯省,,,
176,,Colombia,哥伦比亚,Vichada,比查达省,,,
177,,International Conveyance,国际运输,Diamond Princess,钻石公主号,,,
178,,Czechia,捷克,Liberec,利贝雷茨州,,,
179,,Czechia,捷克,Vysočina,维索基纳州,,,
180,,Czechia,捷克,Hradec Králové,赫拉德茨-克拉洛韦州,,,
181,,Czechia,捷克,Plzeň,比尔森州,,,
182,,Czechia,捷克,Pardubice,帕尔杜比采州,,,
183,,Czechia,捷克,South Bohemian,南波希米亚州,,,
184,,Czechia,捷克,Karlovy Vary,卡罗维发利州,,,
185,,Czechia,捷克,Ústí nad Labem,拉贝河畔乌斯季州,,,
186,,Czechia,捷克,Zlín,兹林州,,,
187,,Czechia,捷克,South Moravian,南摩拉维亚州,,,
188,,Czechia,捷克,Olomouc,奥洛穆茨州,,,
189,,Czechia,捷克,Moravian-Silesian,摩拉维亚-西里西亚州,,,
190,,Czechia,捷克,Central Bohemian,中波希米亚州,,,
191,,Czechia,捷克,Prague,布拉格,,,
192,,Czechia,捷克,Unassigned,未明确,,,
193,,Denmark,丹麦,Faroe Islands,法罗群岛,,,
194,,Denmark,丹麦,Greenland,格陵兰,,,
195,,Denmark,丹麦,Denmark,丹麦,,,
196,,Ecuador,厄瓜多尔,Azuay,阿苏艾省,,,
197,,Ecuador,厄瓜多尔,Bolivar,玻利瓦尔省,,,
198,,Ecuador,厄瓜多尔,Canar,卡尼亚尔省,,,
199,,Ecuador,厄瓜多尔,Carchi,卡尔奇省,,,
200,,Ecuador,厄瓜多尔,Chimborazo,钦博拉索省,,,
201,,Ecuador,厄瓜多尔,Cotopaxi,科托帕希省,,,
202,,Ecuador,厄瓜多尔,El Oro,埃尔奥罗省,,,
203,,Ecuador,厄瓜多尔,Esmeraldas,埃斯梅拉达斯省,,,
204,,Ecuador,厄瓜多尔,Galapagos,加拉帕戈斯省,,,
205,,Ecuador,厄瓜多尔,Guayas,瓜亚斯省,,,
206,,Ecuador,厄瓜多尔,Imbabura,因巴布拉省,,,
207,,Ecuador,厄瓜多尔,Loja,洛哈省,,,
208,,Ecuador,厄瓜多尔,Los Rios,洛斯里奥斯省,,,
209,,Ecuador,厄瓜多尔,Manabi,马纳比省,,,
210,,Ecuador,厄瓜多尔,Morona Santiago,莫罗纳-圣地亚哥省,,,
211,,Ecuador,厄瓜多尔,Napo,纳波省,,,
212,,Ecuador,厄瓜多尔,Orellana,奥雷亚纳省,,,
213,,Ecuador,厄瓜多尔,Pastaza,帕斯塔萨省,,,
214,,Ecuador,厄瓜多尔,Pichincha,皮钦查省,,,
215,,Ecuador,厄瓜多尔,Santa Elena,圣埃伦娜省,,,
216,,Ecuador,厄瓜多尔,Santo Domingo de los Tsachilas,圣多明各-德洛斯查奇拉斯省,,,
217,,Ecuador,厄瓜多尔,Sucumbios,苏昆比奥斯省,,,
218,,Ecuador,厄瓜多尔,Tungurahua,通古拉瓦省,,,
219,,Ecuador,厄瓜多尔,Zamora-Chinchipe,萨莫拉-钦奇佩省,,,
221,FRA,France,法国,Metropolitan France|Auvergne-Rhône-Alpes,法国本土|奥弗涅-罗讷-阿尔卑斯大区,Region,,FR.AR
222,FRA,France,法国,Metropolitan France|Bourgogne-Franche-Comté,法国本土|勃艮第-弗朗什-孔泰大区,Region,,FR.BF
223,FRA,France,法国,Metropolitan France|Bretagne,法国本土|布列塔尼大区,Region,,FR.BT
224,FRA,France,法国,Metropolitan France|Centre-Val de Loire,法国本土|中央-卢瓦尔河谷大区,Region,,FR.CN
225,FRA,France,法国,Metropolitan France|Corse,法国本土|科西嘉,Region,,FR.CE
226,FRA,France,法国,Metropolitan France|Grand Est,法国本土|大东部大区,Region,,FR.AO
227,FRA,France,法国,Metropolitan France|Hauts-de-France,法国本土|上法兰西大区,Region,,FR.NC
228,FRA,France,法国,Metropolitan France|Île-de-France,法国本土|法兰西岛大区,Region,,FR.IF
229,FRA,France,法国,Metropolitan France|Normandie,法国本土|诺曼底大区,Region,,FR.ND
230,FRA,France,法国,Metropolitan France|Nouvelle-Aquitaine,法国本土|新阿基坦大区,Region,,FR.AC
231,FRA,France,法国,Metropolitan France|Occitanie,法国本土|奥克西塔尼大区,Region,,FR.LP
232,FRA,France,法国,Metropolitan France|Pays de la Loire,法国本土|卢瓦尔河地区大区,Region,,FR.PL
233,FRA,France,法国,Metropolitan France|Provence-Alpes-Côte d'Azur,法国本土|普罗旺斯-阿尔卑斯-蓝色海岸大区,Region,,FR.PR
235,GLP,France,法国,Overseas France|Guadeloupe,海外领土|瓜德罗普,,,
236,,France,法国,Overseas France|Saint Barthelemy,海外领土|圣巴泰勒米,,,
237,,France,法国,Overseas France|Saint Martin,海外领土|法属圣马丁,,,
238,,France,法国,Overseas France|Martinique,海外领土|马提尼克,,,
239,,France,法国,Overseas France|French Guiana,海外领土|法属圭亚那,,,
240,,France,法国,Overseas France|Reunion,海外领土|留尼汪,,,
241,,France,法国,Overseas France|Mayotte,海外领土|马约特,,,
242,,France,法国,Overseas France|New Caledonia,海外领土|新喀里多尼亚,,,
243,,France,法国,Overseas France|French Polynesia,海外领土|法属波利尼西亚,,,
244,DEU,Germany,德国,Rheinland-Pfalz,莱茵兰-普法尔茨州,State,7,DE.RP
245,DEU,Germany,德国,Schleswig-Holstein,石勒苏益格-荷尔斯泰因州,State,1,DE.SH
246,DEU,Germany,德国,Evacuation,撤侨,,,
247,DEU,Germany,德国,Hessen,黑森州,State,6,DE.HE
248,DEU,Germany,德国,Baden-Württemberg,巴登-符腾堡州,State,8,DE.BW
249,DEU,Germany,德国,Bayern,巴伐利亚州,,9,DE.BY
250,DEU,Germany,德国,Nordrhein-Westfalen,北莱茵-威斯特法伦州,State,5,DE.NW
251,DEU,Germany,德国,Bremen,不来梅州,State,4,DE.HB
252,DEU,Germany,德国,Hamburg,汉堡,State,2,DE.HH
253,DEU,Germany,德国,Niedersachsen,下萨克森州,State,3,DE.NI
254,DEU,Germany,德国,Berlin,柏林,State,11,DE.BE
255,DEU,Germany,德国,Brandenburg,勃兰登堡州,State,12,DE.BR
256,DEU,Germany,德国,Sachsen,萨克森州,State,14,DE.SN
257,DEU,Germany,德国,Thüringen,图林根州,State,16,DE.TH
